V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9,V1.10,V2.10,V3.10,V4.10,V5.10,V6.10,V1.11,V2.11,V3.11,V4.11,V5.11,V6.11
0.00968668028285451,0,0,0,0,0,0.0350822645369954,0,0,0,0,0,0.0270139712668872,0,0,0,0,0,0.00885841249521178,0,0,0,0,0,0.00141636111152586,0,0,0,0,0,9.63235417986824e-05,0,0,0,0,0,0.0197483191395684,0,0,0,0,0,0.00106629149049895,0,0,0,0,0,0.00690718511430242,0,0,0,0,0,0.00698103012010679,0,0,0,0,0,0.00285273542435388,0,0,0,0,0
0,0.00968668028285451,0,0,0,0,0,0.0350822645369954,0,0,0,0,0,0.0270139712668872,0,0,0,0,0,0.00885841249521178,0,0,0,0,0,0.00141636111152586,0,0,0,0,0,9.63235417986824e-05,0,0,0,0,0,0.0197483191395684,0,0,0,0,0,0.00106629149049895,0,0,0,0,0,0.00690718511430242,0,0,0,0,0,0.00698103012010679,0,0,0,0,0,0.00285273542435388,0,0,0,0
0,0,0.00968668028285451,0,0,0,0,0,0.0350822645369954,0,0,0,0,0,0.0270139712668872,0,0,0,0,0,0.00885841249521178,0,0,0,0,0,0.00141636111152586,0,0,0,0,0,9.63235417986824e-05,0,0,0,0,0,0.0197483191395684,0,0,0,0,0,0.00106629149049895,0,0,0,0,0,0.00690718511430242,0,0,0,0,0,0.00698103012010679,0,0,0,0,0,0.00285273542435388,0,0,0
0,0,0,0.00968668028285451,0,0,0,0,0,0.0350822645369954,0,0,0,0,0,0.0270139712668872,0,0,0,0,0,0.00885841249521178,0,0,0,0,0,0.00141636111152586,0,0,0,0,0,9.63235417986824e-05,0,0,0,0,0,0.0197483191395684,0,0,0,0,0,0.00106629149049895,0,0,0,0,0,0.00690718511430242,0,0,0,0,0,0.00698103012010679,0,0,0,0,0,0.00285273542435388,0,0
0,0,0,0,0.00968668028285451,0,0,0,0,0,0.0350822645369954,0,0,0,0,0,0.0270139712668872,0,0,0,0,0,0.00885841249521178,0,0,0,0,0,0.00141636111152586,0,0,0,0,0,9.63235417986824e-05,0,0,0,0,0,0.0197483191395684,0,0,0,0,0,0.00106629149049895,0,0,0,0,0,0.00690718511430242,0,0,0,0,0,0.00698103012010679,0,0,0,0,0,0.00285273542435388,0
0,0,0,0,0,0.00968668028285451,0,0,0,0,0,0.0350822645369954,0,0,0,0,0,0.0270139712668872,0,0,0,0,0,0.00885841249521178,0,0,0,0,0,0.00141636111152586,0,0,0,0,0,9.63235417986824e-05,0,0,0,0,0,0.0197483191395684,0,0,0,0,0,0.00106629149049895,0,0,0,0,0,0.00690718511430242,0,0,0,0,0,0.00698103012010679,0,0,0,0,0,0.00285273542435388
