V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9
0.00975035276285975,0,0,0,0,0,0.0205929145211897,0,0,0,0,0,0.047105887911012,0,0,0,0,0,0.00141639031421573,0,0,0,0,0,0.000402649246543717,0,0,0,0,0,0.021035925420407,0,0,0,0,0,0.00350093960516042,0,0,0,0,0,0.00690488955478389,0,0,0,0,0,0.00698094491314927,0,0,0,0,0
0,0.00975035276285975,0,0,0,0,0,0.0205929145211897,0,0,0,0,0,0.047105887911012,0,0,0,0,0,0.00141639031421573,0,0,0,0,0,0.000402649246543717,0,0,0,0,0,0.021035925420407,0,0,0,0,0,0.00350093960516042,0,0,0,0,0,0.00690488955478389,0,0,0,0,0,0.00698094491314927,0,0,0,0
0,0,0.00975035276285975,0,0,0,0,0,0.0205929145211897,0,0,0,0,0,0.047105887911012,0,0,0,0,0,0.00141639031421573,0,0,0,0,0,0.000402649246543717,0,0,0,0,0,0.021035925420407,0,0,0,0,0,0.00350093960516042,0,0,0,0,0,0.00690488955478389,0,0,0,0,0,0.00698094491314927,0,0,0
0,0,0,0.00975035276285975,0,0,0,0,0,0.0205929145211897,0,0,0,0,0,0.047105887911012,0,0,0,0,0,0.00141639031421573,0,0,0,0,0,0.000402649246543717,0,0,0,0,0,0.021035925420407,0,0,0,0,0,0.00350093960516042,0,0,0,0,0,0.00690488955478389,0,0,0,0,0,0.00698094491314927,0,0
0,0,0,0,0.00975035276285975,0,0,0,0,0,0.0205929145211897,0,0,0,0,0,0.047105887911012,0,0,0,0,0,0.00141639031421573,0,0,0,0,0,0.000402649246543717,0,0,0,0,0,0.021035925420407,0,0,0,0,0,0.00350093960516042,0,0,0,0,0,0.00690488955478389,0,0,0,0,0,0.00698094491314927,0
0,0,0,0,0,0.00975035276285975,0,0,0,0,0,0.0205929145211897,0,0,0,0,0,0.047105887911012,0,0,0,0,0,0.00141639031421573,0,0,0,0,0,0.000402649246543717,0,0,0,0,0,0.021035925420407,0,0,0,0,0,0.00350093960516042,0,0,0,0,0,0.00690488955478389,0,0,0,0,0,0.00698094491314927
