V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9,V1.10,V2.10,V3.10,V4.10,V5.10,V6.10,V1.11,V2.11,V3.11,V4.11,V5.11,V6.11,V1.12,V2.12,V3.12,V4.12,V5.12,V6.12,V1.13,V2.13,V3.13,V4.13,V5.13,V6.13,V1.14,V2.14,V3.14,V4.14,V5.14,V6.14,V1.15,V2.15,V3.15,V4.15,V5.15,V6.15
0.0024234037153577,0,0,0,0,0,0.00900460213962276,0,0,0,0,0,0.0467600711159432,0,0,0,0,0,0.0132633813035564,0,0,0,0,0,0.00735401895012534,0,0,0,0,0,0.0208125911430573,0,0,0,0,0,0.000832330882484817,0,0,0,0,0,4.62512002229904e-05,0,0,0,0,0,1.65164317744651e-05,0,0,0,0,0,0.00498286708771836,0,0,0,0,0,0.00310958558738797,0,0,0,0,0,0.000184508730519973,0,0,0,0,0,0.00222174179713194,0,0,0,0,0,0.00140538083904982,0,0,0,0,0,0.00304472843596832,0,0,0,0,0
0,0.00601934497398,0,0,0,0,0,0.0131641219464173,0,0,0,0,0,0.00246465496154365,0,0,0,0,0,0.052109647087445,0,0,0,0,0,0.0129050970682898,0,0,0,0,0,0.0376302422000829,0,0,0,0,0,0.0114946152181161,0,0,0,0,0,0.00182311057039462,0,0,0,0,0,0.000822905523995089,0,0,0,0,0,0.0113789804432282,0,0,0,0,0,0.00191327786787341,0,0,0,0,0,0.000816614865287356,0,0,0,0,0,0.00140445173995367,0,0,0,0,0,0.00120235765772644,0,0,0,0,0,0.00835802258858625,0,0,0,0
0,0,0.00929030685036788,0,0,0,0,0,0.00962805626709674,0,0,0,0,0,0.0365832664379172,0,0,0,0,0,0.0127422807601654,0,0,0,0,0,0.00909503845273222,0,0,0,0,0,0.018899775970174,0,0,0,0,0,0.00338819306718299,0,0,0,0,0,0.00068777717589556,0,0,0,0,0,0.000333748893925684,0,0,0,0,0,0.00942390544806397,0,0,0,0,0,0.00841361681057703,0,0,0,0,0,0.000379379049933819,0,0,0,0,0,0.0112506033447149,0,0,0,0,0,0.00876223120878589,0,0,0,0,0,0.0106901401916253,0,0,0
0,0,0,0.00524002117905449,0,0,0,0,0,0.00258396569762222,0,0,0,0,0,0.0540171495233614,0,0,0,0,0,0.00528178312028488,0,0,0,0,0,0.00313150051632467,0,0,0,0,0,0.00754349900795397,0,0,0,0,0,0.00519491090782837,0,0,0,0,0,0.000361933146517946,0,0,0,0,0,5.47774866763699e-05,0,0,0,0,0,0.00816700153167627,0,0,0,0,0,0.0240987374189112,0,0,0,0,0,2.13819713192891e-11,0,0,0,0,0,0.0176801620864787,0,0,0,0,0,0.00145590485099804,0,0,0,0,0,1.17006783084021e-08,0,0
0,0,0,0,0.00369960386598899,0,0,0,0,0,0.015679152326348,0,0,0,0,0,0.0141854192502023,0,0,0,0,0,0.0142361083796309,0,0,0,0,0,0.0314093899604758,0,0,0,0,0,0.0177467793958232,0,0,0,0,0,0.0152235546155617,0,0,0,0,0,0.00487786473690383,0,0,0,0,0,0.000581486519041846,0,0,0,0,0,0.029099038708282,0,0,0,0,0,0.0147198118388293,0,0,0,0,0,3.64455067259794e-10,0,0,0,0,0,0.0222091359774946,0,0,0,0,0,0.013323241338924,0,0,0,0,0,1.43639344122608e-07,0
0,0,0,0,0,0.0128608607069606,0,0,0,0,0,0.00875697453437342,0,0,0,0,0,0.00335156155189832,0,0,0,0,0,0.00103902862160074,0,0,0,0,0,0.00782726737164343,0,0,0,0,0,0.0182042909257793,0,0,0,0,0,0.00328619083134101,0,0,0,0,0,0.000701601740661034,0,0,0,0,0,0.000322360854780958,0,0,0,0,0,0.00903960906257687,0,0,0,0,0,0.00112437449407276,0,0,0,0,0,4.95152069257476e-10,0,0,0,0,0,0.00457807251923465,0,0,0,0,0,0.00951897834453426,0,0,0,0,0,5.74787131299709e-07
