V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6
0.005460689619071,0,0,0,0,0,0.143077548965397,0,0,0,0,0,1.65173107389426e-05,0,0,0,0,0,0.0142422311621912,0,0,0,0,0,0.00524524752901713,0,0,0,0,0,0.00274033259422688,0,0,0,0,0
0,0.0131500953476658,0,0,0,0,0,0.0768020217571126,0,0,0,0,0,0.000822886100146711,0,0,0,0,0,0.0114400223244594,0,0,0,0,0,0.00439921369930562,0,0,0,0,0,0.00217799025854417,0,0,0,0
0,0,0.0207487641413459,0,0,0,0,0,0.0307303039710304,0,0,0,0,0,0.000333740498912572,0,0,0,0,0,0.0412181966464177,0,0,0,0,0,0.0176767885789765,0,0,0,0,0,0.0140744498794652,0,0,0
0,0,0,0.00444982064117857,0,0,0,0,0,0.0707541135255575,0,0,0,0,0,5.47779650178989e-05,0,0,0,0,0,0.0141253731613763,0,0,0,0,0,1.13573528166935e-08,0,0,0,0,0,0.0229004032303155,0,0
0,0,0,0,0.0273574323634805,0,0,0,0,0,0.0730735984856414,0,0,0,0,0,0.000581502208487245,0,0,0,0,0,0.0290150750760676,0,0,0,0,0,6.86574133975524e-08,0,0,0,0,0,0.0604132164575088,0
0,0,0,0,0,0.0130093703309437,0,0,0,0,0,0.0296068234675027,0,0,0,0,0,0.000322362582586883,0,0,0,0,0,0.00735531032766311,0,0,0,0,0,5.50833923736444e-07,0,0,0,0,0,0.00760687802759364
