V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9,V1.10,V2.10,V3.10,V4.10,V5.10,V6.10,V1.11,V2.11,V3.11,V4.11,V5.11,V6.11,V1.12,V2.12,V3.12,V4.12,V5.12,V6.12
0.00363440642123456,0,0,0,0,0,0.0954007997065582,0,0,0,0,0,0.0124076775982315,0,0,0,0,0,0.020861364249657,0,0,0,0,0,0.000832364099095005,0,0,0,0,0,4.78230165843223e-05,0,0,0,0,0,1.65123049197645e-05,0,0,0,0,0,0.0142427119451695,0,0,0,0,0,0.000184511305090359,0,0,0,0,0,0.00222165264173461,0,0,0,0,0,0.00140514492390175,0,0,0,0,0,0.00304472031681428,0,0,0,0,0
0,0.00733914021595994,0,0,0,0,0,0.0287813627298079,0,0,0,0,0,0.057784336011243,0,0,0,0,0,0.0374046837231331,0,0,0,0,0,0.0114950656404626,0,0,0,0,0,0.00183454564609343,0,0,0,0,0,0.000822712420492621,0,0,0,0,0,0.0114415399658159,0,0,0,0,0,0.000816615025670996,0,0,0,0,0,0.00140439219678397,0,0,0,0,0,0.00120222975960926,0,0,0,0,0,0.00835803850852932,0,0,0,0
0,0,0.0167827305037766,0,0,0,0,0,0.020044351355394,0,0,0,0,0,0.0119652532016968,0,0,0,0,0,0.0190651493678396,0,0,0,0,0,0.00338823418028664,0,0,0,0,0,0.000720715972042708,0,0,0,0,0,0.000333656729480255,0,0,0,0,0,0.0412199069098764,0,0,0,0,0,0.000379379151482124,0,0,0,0,0,0.011250132978981,0,0,0,0,0,0.00876117039892914,0,0,0,0,0,0.0106900678094006,0,0,0
0,0,0,0.00476939323596006,0,0,0,0,0,0.0655648548232478,0,0,0,0,0,0.00453731550952589,0,0,0,0,0,0.00750676203875028,0,0,0,0,0,0.00519481921807284,0,0,0,0,0,0.000335849264551348,0,0,0,0,0,5.47639257203671e-05,0,0,0,0,0,0.0141254181891566,0,0,0,0,0,2.13824687696302e-11,0,0,0,0,0,0.017681679887856,0,0,0,0,0,0.00145592439584994,0,0,0,0,0,1.17006647224052e-08,0,0
0,0,0,0,0.0131868378232491,0,0,0,0,0,0.0322781859042731,0,0,0,0,0,0.0169119294194649,0,0,0,0,0,0.0176576637955973,0,0,0,0,0,0.0152235183689669,0,0,0,0,0,0.00945080880919869,0,0,0,0,0,0.000581381792451276,0,0,0,0,0,0.0290152731968527,0,0,0,0,0,3.64458876276435e-10,0,0,0,0,0,0.0222120396587066,0,0,0,0,0,0.0133219003242905,0,0,0,0,0,1.43639644372628e-07,0
0,0,0,0,0,0.0125540532035854,0,0,0,0,0,0.018997328496752,0,0,0,0,0,0.00306073372404657,0,0,0,0,0,0.0183256165113534,0,0,0,0,0,0.00328609500262444,0,0,0,0,0,0.00282507328519515,0,0,0,0,0,0.000322394689439602,0,0,0,0,0,0.0073560819624388,0,0,0,0,0,4.95153379210587e-10,0,0,0,0,0,0.00457791216080909,0,0,0,0,0,0.00951912025894156,0,0,0,0,0,5.74786159848395e-07
