V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9,V1.10,V2.10,V3.10,V4.10,V5.10,V6.10
0.00361394944261762,0,0,0,0,0,0.044255491754745,0,0,0,0,0,0.042379711774103,0,0,0,0,0,3.74214804910569e-05,0,0,0,0,0,3.91940605124124e-05,0,0,0,0,0,0.0142428967395403,0,0,0,0,0,0.0047332895552423,0,0,0,0,0,0.0022213318933238,0,0,0,0,0,0.00140422478573569,0,0,0,0,0,0.00394382554769101,0,0,0,0,0
0,0.00738855015850715,0,0,0,0,0,0.0871434304786023,0,0,0,0,0,0.0530493140443414,0,0,0,0,0,0.0014584429487495,0,0,0,0,0,0.000698010331695608,0,0,0,0,0,0.0114453787813728,0,0,0,0,0,6.19765604835245e-06,0,0,0,0,0,0.00140417305186029,0,0,0,0,0,0.00120172950495627,0,0,0,0,0,0.00702095945817817,0,0,0,0
0,0,0.0168070781864194,0,0,0,0,0,0.0166131682245081,0,0,0,0,0,0.0147377871777355,0,0,0,0,0,0.000607108564178345,0,0,0,0,0,0.000126109118261393,0,0,0,0,0,0.0412205711779331,0,0,0,0,0,0.00366776575950498,0,0,0,0,0,0.0112483606487033,0,0,0,0,0,0.00875704009966232,0,0,0,0,0,0.0144685915805926,0,0,0
0,0,0,0.00476747576553461,0,0,0,0,0,0.0254963156091656,0,0,0,0,0,0.0219848655805569,0,0,0,0,0,0.000879982164298034,0,0,0,0,0,1.1653225213749e-12,0,0,0,0,0,0.0141251400093701,0,0,0,0,0,0.000179174073419614,0,0,0,0,0,0.0176880049812312,0,0,0,0,0,0.00145600637915936,0,0,0,0,0,1.26711456090957e-08,0,0
0,0,0,0,0.0133161224659275,0,0,0,0,0,0.041735713446183,0,0,0,0,0,0.0204592698070327,0,0,0,0,0,0.0159167927433715,0,0,0,0,0,1.23080525601419e-10,0,0,0,0,0,0.0290149015180258,0,0,0,0,0,0.00156001130700558,0,0,0,0,0,0.0222234706738432,0,0,0,0,0,0.0133166321489754,0,0,0,0,0,1.17642924654171e-07,0
0,0,0,0,0,0.0125488492533472,0,0,0,0,0,0.0355487475236276,0,0,0,0,0,0.0174448552848708,0,0,0,0,0,0.00322456721453992,0,0,0,0,0,2.2944825748011e-11,0,0,0,0,0,0.0073579012566075,0,0,0,0,0,8.4799641531907e-08,0,0,0,0,0,0.00457746969992773,0,0,0,0,0,0.00951967879132285,0,0,0,0,0,6.24309475064038e-07
