V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9,V1.10,V2.10,V3.10,V4.10,V5.10,V6.10,V1.11,V2.11,V3.11,V4.11,V5.11,V6.11,V1.12,V2.12,V3.12,V4.12,V5.12,V6.12,V1.13,V2.13,V3.13,V4.13,V5.13,V6.13,V1.14,V2.14,V3.14,V4.14,V5.14,V6.14,V1.15,V2.15,V3.15,V4.15,V5.15,V6.15
0.00640684397411135,0,0,0,0,0,0.00914939520022357,0,0,0,0,0,0.0322406657868563,0,0,0,0,0,0.0190453518050929,0,0,0,0,0,0.00878927597081022,0,0,0,0,0,0.0207010787358317,0,0,0,0,0,0.00581931301253474,0,0,0,0,0,0.00141626155989227,0,0,0,0,0,9.64046838272153e-05,0,0,0,0,0,0.0120207280068434,0,0,0,0,0,0.00898011002883073,0,0,0,0,0,0.00106872214246818,0,0,0,0,0,0.00690348632688104,0,0,0,0,0,0.00698102451880893,0,0,0,0,0,0.00243124173030893,0,0,0,0,0
0,0.00640684397411135,0,0,0,0,0,0.00914939520022357,0,0,0,0,0,0.0322406657868563,0,0,0,0,0,0.0190453518050929,0,0,0,0,0,0.00878927597081022,0,0,0,0,0,0.0207010787358317,0,0,0,0,0,0.00581931301253474,0,0,0,0,0,0.00141626155989227,0,0,0,0,0,9.64046838272153e-05,0,0,0,0,0,0.0120207280068434,0,0,0,0,0,0.00898011002883073,0,0,0,0,0,0.00106872214246818,0,0,0,0,0,0.00690348632688104,0,0,0,0,0,0.00698102451880893,0,0,0,0,0,0.00243124173030893,0,0,0,0
0,0,0.00640684397411135,0,0,0,0,0,0.00914939520022357,0,0,0,0,0,0.0322406657868563,0,0,0,0,0,0.0190453518050929,0,0,0,0,0,0.00878927597081022,0,0,0,0,0,0.0207010787358317,0,0,0,0,0,0.00581931301253474,0,0,0,0,0,0.00141626155989227,0,0,0,0,0,9.64046838272153e-05,0,0,0,0,0,0.0120207280068434,0,0,0,0,0,0.00898011002883073,0,0,0,0,0,0.00106872214246818,0,0,0,0,0,0.00690348632688104,0,0,0,0,0,0.00698102451880893,0,0,0,0,0,0.00243124173030893,0,0,0
0,0,0,0.00640684397411135,0,0,0,0,0,0.00914939520022357,0,0,0,0,0,0.0322406657868563,0,0,0,0,0,0.0190453518050929,0,0,0,0,0,0.00878927597081022,0,0,0,0,0,0.0207010787358317,0,0,0,0,0,0.00581931301253474,0,0,0,0,0,0.00141626155989227,0,0,0,0,0,9.64046838272153e-05,0,0,0,0,0,0.0120207280068434,0,0,0,0,0,0.00898011002883073,0,0,0,0,0,0.00106872214246818,0,0,0,0,0,0.00690348632688104,0,0,0,0,0,0.00698102451880893,0,0,0,0,0,0.00243124173030893,0,0
0,0,0,0,0.00640684397411135,0,0,0,0,0,0.00914939520022357,0,0,0,0,0,0.0322406657868563,0,0,0,0,0,0.0190453518050929,0,0,0,0,0,0.00878927597081022,0,0,0,0,0,0.0207010787358317,0,0,0,0,0,0.00581931301253474,0,0,0,0,0,0.00141626155989227,0,0,0,0,0,9.64046838272153e-05,0,0,0,0,0,0.0120207280068434,0,0,0,0,0,0.00898011002883073,0,0,0,0,0,0.00106872214246818,0,0,0,0,0,0.00690348632688104,0,0,0,0,0,0.00698102451880893,0,0,0,0,0,0.00243124173030893,0
0,0,0,0,0,0.00640684397411135,0,0,0,0,0,0.00914939520022357,0,0,0,0,0,0.0322406657868563,0,0,0,0,0,0.0190453518050929,0,0,0,0,0,0.00878927597081022,0,0,0,0,0,0.0207010787358317,0,0,0,0,0,0.00581931301253474,0,0,0,0,0,0.00141626155989227,0,0,0,0,0,9.64046838272153e-05,0,0,0,0,0,0.0120207280068434,0,0,0,0,0,0.00898011002883073,0,0,0,0,0,0.00106872214246818,0,0,0,0,0,0.00690348632688104,0,0,0,0,0,0.00698102451880893,0,0,0,0,0,0.00243124173030893
