V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9,V1.10,V2.10,V3.10,V4.10,V5.10,V6.10,V1.11,V2.11,V3.11,V4.11,V5.11,V6.11,V1.12,V2.12,V3.12,V4.12,V5.12,V6.12,V1.13,V2.13,V3.13,V4.13,V5.13,V6.13,V1.14,V2.14,V3.14,V4.14,V5.14,V6.14,V1.15,V2.15,V3.15,V4.15,V5.15,V6.15,V1.16,V2.16,V3.16,V4.16,V5.16,V6.16
0.00640684403055396,0,0,0,0,0,0.00914939553346092,0,0,0,0,0,0.0322206784863622,0,0,0,0,0,0.0190453916102144,0,0,0,0,0,0.00878927660940453,0,0,0,0,0,0.0207010302611911,0,0,0,0,0,0.00581931072276207,0,0,0,0,0,0.00141626148351334,0,0,0,0,0,9.64046616216941e-05,0,0,0,0,0,0.0120207320562605,0,0,0,0,0,0.00898010897313715,0,0,0,0,0,0.00106872109834019,0,0,0,0,0,0.00489434183514979,0,0,0,0,0,0.00695720739673517,0,0,0,0,0,0.00301876554010321,0,0,0,0,0,0.00243117668137688,0,0,0,0,0
0,0.00640684403055396,0,0,0,0,0,0.00914939553346092,0,0,0,0,0,0.0322206784863622,0,0,0,0,0,0.0190453916102144,0,0,0,0,0,0.00878927660940453,0,0,0,0,0,0.0207010302611911,0,0,0,0,0,0.00581931072276207,0,0,0,0,0,0.00141626148351334,0,0,0,0,0,9.64046616216941e-05,0,0,0,0,0,0.0120207320562605,0,0,0,0,0,0.00898010897313715,0,0,0,0,0,0.00106872109834019,0,0,0,0,0,0.00489434183514979,0,0,0,0,0,0.00695720739673517,0,0,0,0,0,0.00301876554010321,0,0,0,0,0,0.00243117668137688,0,0,0,0
0,0,0.00640684403055396,0,0,0,0,0,0.00914939553346092,0,0,0,0,0,0.0322206784863622,0,0,0,0,0,0.0190453916102144,0,0,0,0,0,0.00878927660940453,0,0,0,0,0,0.0207010302611911,0,0,0,0,0,0.00581931072276207,0,0,0,0,0,0.00141626148351334,0,0,0,0,0,9.64046616216941e-05,0,0,0,0,0,0.0120207320562605,0,0,0,0,0,0.00898010897313715,0,0,0,0,0,0.00106872109834019,0,0,0,0,0,0.00489434183514979,0,0,0,0,0,0.00695720739673517,0,0,0,0,0,0.00301876554010321,0,0,0,0,0,0.00243117668137688,0,0,0
0,0,0,0.00640684403055396,0,0,0,0,0,0.00914939553346092,0,0,0,0,0,0.0322206784863622,0,0,0,0,0,0.0190453916102144,0,0,0,0,0,0.00878927660940453,0,0,0,0,0,0.0207010302611911,0,0,0,0,0,0.00581931072276207,0,0,0,0,0,0.00141626148351334,0,0,0,0,0,9.64046616216941e-05,0,0,0,0,0,0.0120207320562605,0,0,0,0,0,0.00898010897313715,0,0,0,0,0,0.00106872109834019,0,0,0,0,0,0.00489434183514979,0,0,0,0,0,0.00695720739673517,0,0,0,0,0,0.00301876554010321,0,0,0,0,0,0.00243117668137688,0,0
0,0,0,0,0.00640684403055396,0,0,0,0,0,0.00914939553346092,0,0,0,0,0,0.0322206784863622,0,0,0,0,0,0.0190453916102144,0,0,0,0,0,0.00878927660940453,0,0,0,0,0,0.0207010302611911,0,0,0,0,0,0.00581931072276207,0,0,0,0,0,0.00141626148351334,0,0,0,0,0,9.64046616216941e-05,0,0,0,0,0,0.0120207320562605,0,0,0,0,0,0.00898010897313715,0,0,0,0,0,0.00106872109834019,0,0,0,0,0,0.00489434183514979,0,0,0,0,0,0.00695720739673517,0,0,0,0,0,0.00301876554010321,0,0,0,0,0,0.00243117668137688,0
0,0,0,0,0,0.00640684403055396,0,0,0,0,0,0.00914939553346092,0,0,0,0,0,0.0322206784863622,0,0,0,0,0,0.0190453916102144,0,0,0,0,0,0.00878927660940453,0,0,0,0,0,0.0207010302611911,0,0,0,0,0,0.00581931072276207,0,0,0,0,0,0.00141626148351334,0,0,0,0,0,9.64046616216941e-05,0,0,0,0,0,0.0120207320562605,0,0,0,0,0,0.00898010897313715,0,0,0,0,0,0.00106872109834019,0,0,0,0,0,0.00489434183514979,0,0,0,0,0,0.00695720739673517,0,0,0,0,0,0.00301876554010321,0,0,0,0,0,0.00243117668137688
