V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8,V1.9,V2.9,V3.9,V4.9,V5.9,V6.9,V1.10,V2.10,V3.10,V4.10,V5.10,V6.10,V1.11,V2.11,V3.11,V4.11,V5.11,V6.11,V1.12,V2.12,V3.12,V4.12,V5.12,V6.12,V1.13,V2.13,V3.13,V4.13,V5.13,V6.13,V1.14,V2.14,V3.14,V4.14,V5.14,V6.14,V1.15,V2.15,V3.15,V4.15,V5.15,V6.15,V1.16,V2.16,V3.16,V4.16,V5.16,V6.16,V1.17,V2.17,V3.17,V4.17,V5.17,V6.17
0.00241588825113297,0,0,0,0,0,0.00903716724054455,0,0,0,0,0,0.0467601179473203,0,0,0,0,0,0.0132634553249558,0,0,0,0,0,0.00735448325952821,0,0,0,0,0,0.0208125916523278,0,0,0,0,0,0.000832330835470072,0,0,0,0,0,4.62512002240331e-05,0,0,0,0,0,1.6516431774584e-05,0,0,0,0,0,0.00199989921677639,0,0,0,0,0,0.00310957967558292,0,0,0,0,0,0.00572780507383147,0,0,0,0,0,0.000184158487599619,0,0,0,0,0,0.000516804898766618,0,0,0,0,0,0.002224953880352,0,0,0,0,0,0.000402656179543841,0,0,0,0,0,0.00304581476717634,0,0,0,0,0
0,0.00599938430905333,0,0,0,0,0,0.0131816153956103,0,0,0,0,0,0.00246465453063682,0,0,0,0,0,0.0521101020583721,0,0,0,0,0,0.0129015186531769,0,0,0,0,0,0.0376302361265633,0,0,0,0,0,0.011494614583392,0,0,0,0,0,0.00182311057036601,0,0,0,0,0,0.000822905524002832,0,0,0,0,0,0.00782202335077365,0,0,0,0,0,0.0019130800812449,0,0,0,0,0,0.00972633112957798,0,0,0,0,0,0.000816590789346214,0,0,0,0,0,0.000745392153573063,0,0,0,0,0,0.0015687905303779,0,0,0,0,0,0.000154004578959564,0,0,0,0,0,0.00835587715030533,0,0,0,0
0,0,0.009346704023268,0,0,0,0,0,0.00964190177875773,0,0,0,0,0,0.0365832792542756,0,0,0,0,0,0.0127423663296323,0,0,0,0,0,0.00909268300587578,0,0,0,0,0,0.0188997732045109,0,0,0,0,0,0.0033881929892782,0,0,0,0,0,0.0006877771758734,0,0,0,0,0,0.000333748893929378,0,0,0,0,0,0.00717187066876163,0,0,0,0,0,0.0084125488912899,0,0,0,0,0,0.00857074710882847,0,0,0,0,0,0.000379380937695942,0,0,0,0,0,0.00299787842612422,0,0,0,0,0,0.0127437473721427,0,0,0,0,0,0.00336755971356487,0,0,0,0,0,0.0106999907592234,0,0,0
0,0,0,0.00523328816035388,0,0,0,0,0,0.00259120073260158,0,0,0,0,0,0.0540172139308211,0,0,0,0,0,0.00528181110573403,0,0,0,0,0,0.00312984868399634,0,0,0,0,0,0.00754350000190303,0,0,0,0,0,0.00519491097935066,0,0,0,0,0,0.000361933146515717,0,0,0,0,0,5.47774866771048e-05,0,0,0,0,0,0.00883918564772456,0,0,0,0,0,0.0240998514859283,0,0,0,0,0,0.00556035475904157,0,0,0,0,0,2.13141610512133e-11,0,0,0,0,0,0.00670680564828914,0,0,0,0,0,0.00124413906538181,0,0,0,0,0,0.0153136882370863,0,0,0,0,0,1.1702569886024e-08,0,0
0,0,0,0,0.00371310469465605,0,0,0,0,0,0.0155733260940408,0,0,0,0,0,0.0141854217507662,0,0,0,0,0,0.0142360048949122,0,0,0,0,0,0.0314101119106781,0,0,0,0,0,0.0177467797807783,0,0,0,0,0,0.0152235546094681,0,0,0,0,0,0.00487786473715637,0,0,0,0,0,0.000581486519050462,0,0,0,0,0,0.00731295502294905,0,0,0,0,0,0.0147208372076357,0,0,0,0,0,0.00295132232846989,0,0,0,0,0,3.63932411887015e-10,0,0,0,0,0,0.013072668353621,0,0,0,0,0,0.0143951438496839,0,0,0,0,0,0.00742343932359874,0,0,0,0,0,1.43598854149287e-07,0
0,0,0,0,0,0.0129098290878728,0,0,0,0,0,0.00874988425680656,0,0,0,0,0,0.00335156268610584,0,0,0,0,0,0.00103901529061844,0,0,0,0,0,0.007827319605949,0,0,0,0,0,0.0182042885060506,0,0,0,0,0,0.00328619085874276,0,0,0,0,0,0.000701601740818156,0,0,0,0,0,0.000322360854780809,0,0,0,0,0,0.00809522943637753,0,0,0,0,0,0.00112422189096334,0,0,0,0,0,0.00355559219190996,0,0,0,0,0,4.94999636766625e-10,0,0,0,0,0,0.00318158369084335,0,0,0,0,0,0.00930154587973792,0,0,0,0,0,0.00555545343555497,0,0,0,0,0,5.74922041339604e-07
