V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V1.2,V2.2,V3.2,V4.2,V5.2,V6.2,V1.3,V2.3,V3.3,V4.3,V5.3,V6.3,V1.4,V2.4,V3.4,V4.4,V5.4,V6.4,V1.5,V2.5,V3.5,V4.5,V5.5,V6.5,V1.6,V2.6,V3.6,V4.6,V5.6,V6.6,V1.7,V2.7,V3.7,V4.7,V5.7,V6.7,V1.8,V2.8,V3.8,V4.8,V5.8,V6.8
0.00975679111298322,0,0,0,0,0,0.0222500695231108,0,0,0,0,0,0.0371863242992133,0,0,0,0,0,0.00141640095996463,0,0,0,0,0,0.000402831996031424,0,0,0,0,0,0.0192603849273806,0,0,0,0,0,0.00350399241591175,0,0,0,0,0,0.0243138504884038,0,0,0,0,0
0,0.00975679111298322,0,0,0,0,0,0.0222500695231108,0,0,0,0,0,0.0371863242992133,0,0,0,0,0,0.00141640095996463,0,0,0,0,0,0.000402831996031424,0,0,0,0,0,0.0192603849273806,0,0,0,0,0,0.00350399241591175,0,0,0,0,0,0.0243138504884038,0,0,0,0
0,0,0.00975679111298322,0,0,0,0,0,0.0222500695231108,0,0,0,0,0,0.0371863242992133,0,0,0,0,0,0.00141640095996463,0,0,0,0,0,0.000402831996031424,0,0,0,0,0,0.0192603849273806,0,0,0,0,0,0.00350399241591175,0,0,0,0,0,0.0243138504884038,0,0,0
0,0,0,0.00975679111298322,0,0,0,0,0,0.0222500695231108,0,0,0,0,0,0.0371863242992133,0,0,0,0,0,0.00141640095996463,0,0,0,0,0,0.000402831996031424,0,0,0,0,0,0.0192603849273806,0,0,0,0,0,0.00350399241591175,0,0,0,0,0,0.0243138504884038,0,0
0,0,0,0,0.00975679111298322,0,0,0,0,0,0.0222500695231108,0,0,0,0,0,0.0371863242992133,0,0,0,0,0,0.00141640095996463,0,0,0,0,0,0.000402831996031424,0,0,0,0,0,0.0192603849273806,0,0,0,0,0,0.00350399241591175,0,0,0,0,0,0.0243138504884038,0
0,0,0,0,0,0.00975679111298322,0,0,0,0,0,0.0222500695231108,0,0,0,0,0,0.0371863242992133,0,0,0,0,0,0.00141640095996463,0,0,0,0,0,0.000402831996031424,0,0,0,0,0,0.0192603849273806,0,0,0,0,0,0.00350399241591175,0,0,0,0,0,0.0243138504884038
